"Ctry_code"|"reg_code"|"reg_tl3"|"reg_tl3_label"
"US"|"US17181"|"US160"|"St. Louis-St. Charles-Farmington - Mo-Il"
"US"|"US17183"|"US028"|"Champaign-Urbana - Il"
"US"|"US17185"|"US054"|"Evansville - In-Ky"
"US"|"US17187"|"US126"|"Peoria-Canton - Il"
"US"|"US17189"|"US160"|"St. Louis-St. Charles-Farmington - Mo-Il"
"US"|"US17191"|"US028"|"Champaign-Urbana - Il"
"US"|"US17193"|"US054"|"Evansville - In-Ky"
"US"|"US17195"|"US043"|"Davenport-Moline-Rock Island - Ia-Il"
"US"|"US17197"|"US032"|"Chicago-Naperville-Michigan City - Il-In-Wi"
"US"|"US17199"|"US160"|"St. Louis-St. Charles-Farmington - Mo-Il"
"US"|"US17201"|"US032"|"Chicago-Naperville-Michigan City - Il-In-Wi"
"US"|"US17203"|"US126"|"Peoria-Canton - Il"
"US"|"US18001"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18003"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18005"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18007"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18009"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18011"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18013"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18015"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18017"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18019"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US18021"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18023"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18025"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US18027"|"US054"|"Evansville - In-Ky"
"US"|"US18029"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US18031"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18033"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18035"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18037"|"US054"|"Evansville - In-Ky"
"US"|"US18039"|"US156"|"South Bend-Mishawaka - In-Mi"
"US"|"US18041"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18043"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US18045"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18047"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US18049"|"US156"|"South Bend-Mishawaka - In-Mi"
"US"|"US18051"|"US054"|"Evansville - In-Ky"
"US"|"US18053"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18055"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18057"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18059"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18061"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US18063"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18065"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18067"|"US078"|"Indianapolis-Anderson-Columbus - In"
"US"|"US18069"|"US060"|"Fort Wayne-Huntington-Auburn - In"
"US"|"US18071"|"US078"|"Indianapolis-Anderson-Columbus - In"
