"Ctry_code"|"reg_code"|"reg_tl3"|"reg_tl3_label"
"US"|"US21011"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21013"|"US088"|"Knoxville-Sevierville-La Follette - Tn"
"US"|"US21015"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US21017"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21019"|"US029"|"Charleston - Wv"
"US"|"US21021"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21023"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US21025"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21027"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US21029"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US21031"|"US116"|"Nashville-Davidson-Murfreesboro-Columbia - Tn"
"US"|"US21033"|"US122"|"Paducah - Ky-Il"
"US"|"US21035"|"US122"|"Paducah - Ky-Il"
"US"|"US21037"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US21039"|"US122"|"Paducah - Ky-Il"
"US"|"US21041"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US21043"|"US029"|"Charleston - Wv"
"US"|"US21045"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21047"|"US116"|"Nashville-Davidson-Murfreesboro-Columbia - Tn"
"US"|"US21049"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21051"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21053"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21055"|"US122"|"Paducah - Ky-Il"
"US"|"US21057"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21059"|"US054"|"Evansville - In-Ky"
"US"|"US21061"|"US116"|"Nashville-Davidson-Murfreesboro-Columbia - Tn"
"US"|"US21063"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21065"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21067"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21069"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US21071"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21073"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21075"|"US105"|"Memphis - Tn-Ms-Ar"
"US"|"US21077"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US21079"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21081"|"US033"|"Cincinnati-Middletown-Wilmington - Oh-Ky-In"
"US"|"US21083"|"US122"|"Paducah - Ky-Il"
"US"|"US21085"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US21087"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
